Date,Purchase Bid (MWh),Sell Bid (MWh),MCV (MWh),Final Scheduled Volume (MWh),MCP (Rs/MWh) *,Weighted MCP (Rs/MWh)
2022-06-06,271207.82,213155.01,166380.21,166375.41,8069.69,8480.74
2022-06-07,207048.59,245516.8,147834.12,147834.12,6095.86,6653.04
2022-06-08,220237.05,239869,146112.9,146112.9,6395.89,7039.19
2022-06-09,230895.25,232600.36,149253.3,149253.3,6878.2,7394.51
2022-06-10,227559.77,228808.1,151788.43,151788.43,7030,7570.89
2022-06-11,235196.39,203788.01,143551.24,143551.24,7769.24,8242.32
2022-06-12,193227.99,250228.38,136707.25,136707.25,5848.79,6856.88
2022-06-13,252482.63,192239.62,140273.74,140272.77,8354.53,8624.81
2022-06-14,286301.33,164020.49,132019.83,132019.83,9345.75,9510.93
2022-06-15,306704.24,163163.76,140864.79,140864.79,10143.08,10046.05
2022-06-16,244429.55,182698.68,134350.14,134350.14,8604.31,8713.37
2022-06-17,179888.53,208925.08,120189.02,120189.02,6570.06,6925.1
2022-06-18,159551.26,245891.61,109303.44,109303.44,5075.01,5363.18
2022-06-19,193683.25,268796.95,126999.97,126999.97,4257.89,4434.02
2022-06-20,181737.15,275494,125421.7,125421.7,4414.6,4517.3
2022-06-21,180522.24,335763.07,137120.71,137120.71,3543.96,3531.21
2022-06-22,214143.45,292301.63,147161.17,147161.17,4259.72,4293.48
2022-06-23,232292.92,267121.18,149486.21,149486.21,5217.33,5168.09
2022-06-24,243915.03,194363.75,121776.06,121776.06,7085.6,7200.36
2022-06-25,220673.98,229238.16,123533.4,123533.4,5509.09,5628.51
2022-06-26,206763.86,243452.29,116222.3,116222.3,5030.86,5222.83
2022-06-27,221403.18,236095.57,135328.49,135328.49,6126.62,6410.35
2022-06-28,220649.5,214983.2,144032.82,144032.82,6657.81,6846.92
2022-06-29,230056.52,205754.76,140900.94,140900.94,7507.09,7728.73
2022-06-30,138460.13,287665.29,101276.19,101276.19,3788.9,3723.44
2022-07-01,166572.08,281450.9,105820,105820,4036.04,4159.11
2022-07-02,190661.92,255571.45,114892.3,114892.3,4424.93,4460.18
2022-07-03,199419.62,271702.96,124170.44,122220.89,3892.2,3943.34
2022-07-04,191994.77,225432.55,114138.91,114138.91,4470.75,4520.9
2022-07-05,191479,215350.18,108668.19,108668.19,4793.52,4970.96
2022-07-06,224611.33,190491.01,118570.16,118570.16,6589.28,6877.09
2022-07-07,188170.44,180751.53,95865.56,94175.1,6408.96,6900.7
2022-07-08,221220.43,170715.85,104057.06,104057.06,7219.88,7409.98
2022-07-09,189322.89,191849.86,107152.04,106339.91,6105.13,6319.71
2022-07-10,111912.35,254740.78,84418.91,84418.91,3078.42,3004.61
2022-07-11,146051.3,211891.86,85826.09,85826.09,4970.88,5226.52
2022-07-12,155988.69,206820.53,97385.92,97385.92,5498.48,5716.35
2022-07-13,132206.55,240549.64,93380.63,93380.63,3926.62,3970.92
2022-07-14,164499.48,238186.28,110211.84,110211.84,4953.4,4968.56
2022-07-15,171242.16,228919.46,111461.03,111461.03,5406.86,5431.02
2022-07-16,165642.13,208508.06,109372.23,109372.23,5734.19,5760.01
2022-07-17,149118.15,218596.7,97376.23,97376.23,4261.72,4382.95
2022-07-18,175359.68,190680.35,108026.4,108026.4,5867.3,5841.26
2022-07-19,189145.35,188188.62,122968.25,122968.25,6365.78,6176.13
2022-07-20,178735.19,228136.86,128424.48,128424.48,5809.11,5948.96
2022-07-21,221125.39,227090.06,144490.19,144490.19,6224.85,5974.33
2022-07-22,202211.32,207963.33,116747.23,116747.23,5763.28,5520.65
2022-07-23,167664.56,187319.09,107505.2,107505.2,5584.49,5529.36
2022-07-24,144320.76,235892.71,91777.49,91777.49,4145.05,4159.46
2022-07-25,150137.99,186984.67,91905.46,91905.46,4842.43,4885.79
2022-07-26,200015.82,185753.47,115024.44,115024.44,6094.91,6089.22
2022-07-27,193712.13,197788.21,121002.4,121002.4,6007.68,5933.01
2022-07-28,251499.66,225227.4,159864.5,159864.5,6382.87,6114.66
2022-07-29,248887.47,199190.68,145621.84,145621.84,6813.25,6364.58
